Date,Open,High,Low,Close,Adj Close,Volume
2010-04-09,155.334000,161.141998,154.343994,160.212006,128.496658,29347238
2010-04-12,160.270996,160.270996,153.968994,154.552002,123.957092,29781931
2010-04-13,154.938004,155.669998,150.604996,153.296005,122.949738,49489395
2010-04-15,154.343994,157.787994,152.761002,153.423996,123.052391,30353385
2010-04-16,153.354996,156.214005,153.216995,155.283997,124.544197,17014036
2010-04-19,151.623993,154.246002,151.059998,153.513000,123.123779,18251422
2010-04-20,153.751007,158.074005,153.751007,156.787994,125.750473,21190376
2010-04-21,157.154007,160.677002,153.384995,160.162003,128.456543,24958474
2010-04-22,159.667007,169.126007,158.500000,165.554001,132.781174,53118710
2010-04-23,165.820999,167.899002,163.744003,167.098007,134.019501,28966139
2010-04-26,167.602005,170.332993,165.227997,168.354004,135.026871,15735528
2010-04-27,168.057007,169.145996,166.820999,167.513000,134.352341,22734583
2010-04-28,164.257996,166.988998,138.514008,162.565994,130.384659,19690949
2010-04-29,164.218994,168.175995,162.921997,166.722000,133.717941,41823625
2010-04-30,167.800003,173.835007,167.207001,172.667999,138.486893,30858379
2010-05-03,172.350998,174.667007,167.731003,169.076004,135.605942,23773792
2010-05-04,169.987000,172.054993,165.841003,166.651993,133.661789,18968477
2010-05-05,162.259995,166.533997,159.559006,165.197998,132.495636,18946812
2010-05-06,165.227997,165.227997,159.529007,160.964005,129.099792,24010448
2010-05-07,159.251999,159.251999,150.011002,150.931000,121.052910,28801931
2010-05-10,156.718994,161.666000,151.485001,160.992996,129.123032,22222064
2010-05-11,161.587006,162.061996,156.966003,158.281998,126.948715,21729699
2010-05-12,157.332001,160.656998,156.619995,158.826004,127.385025,19139876
2010-05-13,160.270996,165.604004,160.113007,164.406998,131.861221,23865687
2010-05-14,164.634003,165.227997,160.399994,161.518005,129.544128,13830264
2010-05-17,159.686996,159.686996,153.276001,156.164993,125.250793,24175191
2010-05-18,157.313004,157.313004,151.416000,152.830994,122.576790,22833144
2010-05-19,151.376007,151.376007,139.908997,141.462997,113.459175,42604941
2010-05-20,142.076004,144.906006,137.593994,140.869003,112.982780,32478159
2010-05-21,136.535995,141.343994,133.863998,140.462997,112.657135,42409396
2010-05-24,142.472000,146.311005,138.910004,139.889999,112.197578,27683088
2010-05-25,138.315994,138.395996,132.578003,133.261002,106.880836,22896567
2010-05-26,133.567001,141.264999,133.567001,140.393997,112.601799,26941685
2010-05-27,139.919006,148.408005,139.395004,146.776001,117.720421,46147010
2010-05-28,150.386993,153.098007,146.934006,148.309006,118.949982,39059693
2010-05-31,149.179993,151.238007,146.626999,149.397995,119.823372,22413183
2010-06-01,148.031998,150.070007,142.580994,143.451004,115.053642,24048881
2010-06-02,145.440002,148.378006,143.679001,147.645996,118.418198,28703946
2010-06-03,149.397995,152.761002,149.397995,151.822006,121.767525,24720427
2010-06-04,151.910995,153.522995,149.516006,152.682007,122.457275,17680584
2010-06-07,149.595001,149.595001,144.925995,145.856003,116.982552,27858317
2010-06-08,145.835999,149.694000,144.647995,145.598007,116.775635,26978137
2010-06-09,145.440002,147.358994,143.104996,144.065002,115.546089,33286679
2010-06-10,146.162003,150.871994,144.451004,150.209000,120.473824,24950044
2010-06-11,152.266998,152.940002,149.921997,151.356995,121.394562,26420787
2010-06-14,151.970001,152.919998,149.229004,150.436005,120.655891,17644648
2010-06-15,150.585007,152.167999,148.289001,150.328003,120.569275,16351197
2010-06-16,151.376007,155.927994,151.376007,154.414001,123.846420,26018943
2010-06-17,155.136002,159.389999,153.354996,158.737000,127.313652,23857960
2010-06-18,159.291000,160.677002,156.917007,158.658005,127.250305,20921856
2010-06-21,160.082993,162.921997,159.311005,159.746994,128.123703,19993035
2010-06-22,160.182007,160.182007,156.639999,157.837006,126.591805,15775037
2010-06-23,156.343002,159.667007,155.936996,156.531006,125.544334,17385857
2010-06-24,156.778000,157.867004,154.690994,155.373001,124.615570,15245468
2010-06-25,155.373001,156.125000,151.524994,152.147995,122.028976,17019277
2010-06-28,152.365997,157.085007,152.365997,156.175003,125.258804,12556785
2010-06-29,156.125000,156.125000,151.673004,152.554001,122.354622,14291135
2010-06-30,150.436005,154.710999,150.149994,154.048004,123.552879,17480178
2010-07-01,153.908997,154.363998,150.615005,150.931000,121.052910,12274979
2010-07-02,152.365997,153.522995,150.981003,151.653000,121.631973,12038767
2010-07-05,151.365997,154.294998,150.209000,151.020004,121.124275,16098869
2010-07-06,151.365997,152.722000,150.585007,151.949997,121.870178,14020533
2010-07-07,151.673004,152.345993,148.091995,148.595993,119.180145,12754144
2010-07-08,150.386993,151.593994,149.328003,149.625000,120.005455,11395779
2010-07-09,150.585007,152.860001,150.188995,152.503998,122.314514,15919248
2010-07-12,153.751007,156.955994,152.820999,156.352997,125.401566,22252204
2010-07-13,156.520996,159.231995,155.837997,158.677994,127.266312,14691923
2010-07-14,159.686996,161.231003,157.313004,158.302002,126.964752,13678059
2010-07-15,158.302002,160.677002,156.520996,160.182007,128.472580,15651496
2010-07-16,160.281006,165.395996,160.072998,164.712997,132.106644,26426882
2010-07-19,163.645004,165.009995,162.487000,163.307999,130.979782,9332837
2010-07-20,164.039993,164.832001,160.082993,160.884003,129.035614,8860550
2010-07-21,161.863998,163.427002,161.546997,162.328995,130.194565,9242645
2010-07-22,162.061996,166.216995,161.270004,165.623993,132.837311,13248283
2010-07-23,166.632996,167.591995,164.514999,165.901001,133.059464,13194907
2010-07-26,166.414993,166.455002,161.884003,162.496994,130.329315,8951374
2010-07-27,162.457001,167.789993,162.457001,167.117004,134.034760,14545161
2010-07-28,166.613007,169.878006,166.613007,169.145996,135.662079,14313133
2010-07-29,169.403000,172.005005,167.285995,171.500000,137.550095,18101254
2010-07-30,168.987000,170.332993,166.860001,167.473999,134.321075,10827028
2010-08-02,168.977997,170.748993,166.850006,167.671997,134.479874,11074419
2010-08-03,169.166000,169.382996,166.039001,166.572998,133.598450,14728714
2010-08-04,166.811005,167.800003,165.227997,167.098007,134.019501,7603626
2010-08-05,167.404007,171.509995,166.791000,170.373001,136.646210,14736203
2010-08-06,170.175003,178.445999,169.828003,176.843002,141.835419,34896872
2010-08-09,177.832993,182.393997,177.100006,181.929001,145.914581,21464475
2010-08-10,183.037003,191.348007,175.557007,189.427994,165.581207,81052897
2010-08-11,190.408005,202.725998,190.268997,199.203003,174.125671,82490236
2010-08-12,199.263000,204.447006,196.007996,202.764999,177.239243,34680036
2010-08-13,203.220001,204.802994,199.362000,200.529007,175.284729,19571365
2010-08-16,201.212006,202.358994,196.432999,198.145004,173.200836,13504957
2010-08-17,198.837006,201.598007,197.481995,199.192993,174.116913,20910036
2010-08-18,200.647995,209.453003,200.449997,207.434998,181.321350,33446081
2010-08-19,205.792999,207.770996,204.199997,205.882004,179.963852,15331571
2010-08-20,203.557007,205.397003,200.419998,200.914993,175.622147,20173575
2010-08-23,201.804993,203.061996,199.065002,200.914993,175.622147,12888823
2010-08-24,201.024002,201.835007,199.283005,200.203003,174.999771,9869360
2010-08-25,199.362000,200.539001,194.533005,196.354004,171.635315,15772253
2010-08-26,195.899002,201.429001,195.335007,197.363007,172.517303,30891405
2010-08-27,197.283997,200.231995,195.324997,196.057007,171.375702,12903049
2010-08-30,198.669006,199.837006,193.960007,195.869003,171.211365,13117950
2010-08-31,194.908997,200.826004,194.186996,199.925995,174.757645,32532480
2010-09-01,200.845993,201.735992,198.501007,200.005005,174.826706,14422742
2010-09-02,202.033005,204.199997,200.647995,201.231995,175.899216,13703575
2010-09-03,201.854996,202.873993,199.906006,200.598007,175.345047,5986874
2010-09-06,201.755997,205.792999,201.755997,204.802994,179.020691,10815688
2010-09-07,204.408005,209.848999,204.408005,205.623993,179.738312,11105372
2010-09-08,204.802994,206.524994,203.052002,204.388000,178.657944,7991987
2010-09-09,204.604996,206.464996,199.589005,200.815994,175.535599,11910673
2010-09-13,202.072998,204.703995,201.300995,203.220001,177.636963,12417881
2010-09-14,204.802994,211.332993,202.824005,208.800003,182.514511,28712790
2010-09-15,210.740005,213.509995,201.656998,202.744995,177.221771,32875430
2010-09-16,202.923004,205.990997,201.835007,203.576004,177.948166,18527507
2010-09-17,205.595001,207.356003,203.714996,204.901993,179.107208,14344420
2010-09-20,205.783005,209.968002,205.199005,209.246002,182.904358,13433878
2010-09-21,209.354004,214.697006,208.048004,213.826996,186.908661,24206908
2010-09-22,217.447998,219.445999,209.602005,211.906998,185.230362,15792488
2010-09-23,212.520996,213.707993,210.244995,212.580002,185.818665,11276251
2010-09-24,211.134995,213.182999,210.175995,212.302994,185.576523,8037617
2010-09-27,215.785004,216.675995,211.787994,214.440002,187.444504,11043551
2010-09-28,213.500000,214.697006,211.035995,213.807007,186.891190,8215034
2010-09-29,213.876007,219.613998,213.817001,218.942001,191.379745,20404830
2010-09-30,219.634003,220.632996,214.945007,217.289001,189.934845,15719417
